thigh_right_pitch,thigh_right_roll,knee_right_pitch,ankle_right_pitch,ankle_right_roll,thigh_left_pitch,thigh_left_roll,knee_left_pitch,ankle_left_pitch,ankle_left_roll
-15,0,29,15,0,15,0,-29,-15,0
-15,0,29,15,0,15,0,-29,-15,0
-15,0,29,15,0,15,0,-29,-15,0
-15,-9,29,15,-9,36,-9,-72,-15,-9
-12,-8,29,17,-8,35,-8,-67,-36,-8
-10,-7,29,19,-7,31,-7,-55,-32,-7
-8,-5,29,21,-5,26,-5,-42,-24,-5
-6,-3,28,23,-3,24,-3,-34,-16,-3
-4,0,28,24,0,25,0,-29,-9,0
-4,0,28,24,0,24,0,-28,-4,0
-4,0,28,24,0,24,0,-28,-4,0
-4,0,28,24,0,24,0,-28,-4,0
-5,0,28,24,0,25,0,-28,-3,0
-5,0,29,24,0,25,0,-28,-3,0
-5,0,29,24,0,24,0,-28,-4,0
-5,0,29,24,0,24,0,-28,-4,0
-5,0,29,24,0,24,0,-28,-4,0
-5,0,29,24,0,24,0,-28,-4,0
-4,0,29,24,0,24,0,-28,-4,0
-4,0,28,24,0,24,0,-28,-4,0
-4,0,28,24,0,24,0,-28,-4,0
-4,0,28,24,0,24,0,-28,-4,0
-4,0,28,24,0,24,0,-28,-4,0
-4,0,29,25,0,24,0,-28,-4,0
-9,3,34,24,3,23,3,-28,-6,3
-16,5,42,26,5,21,5,-29,-8,5
-24,7,55,31,7,19,7,-29,-10,7
-32,8,67,35,8,17,8,-29,-12,8
-36,9,72,36,9,15,9,-29,-15,9
-35,8,67,32,8,12,8,-29,-17,8
-31,7,55,24,7,10,7,-29,-19,7
-26,5,42,16,5,8,5,-29,-21,5
-24,3,34,9,3,6,3,-28,-23,3
-25,0,29,4,0,4,0,-28,-24,0
-24,0,28,4,0,4,0,-28,-24,0
-24,0,28,4,0,4,0,-28,-24,0
-24,0,28,4,0,4,0,-28,-24,0
-24,0,28,4,0,4,0,-28,-24,0
-24,0,29,4,0,4,0,-28,-24,0
-24,0,29,5,0,4,0,-28,-24,0
-24,0,29,5,0,4,0,-28,-24,0
-24,0,29,5,0,4,0,-28,-24,0
-24,0,29,5,0,4,0,-28,-24,0
-24,0,29,5,0,3,0,-28,-25,0
-24,0,30,5,0,3,0,-28,-25,0
-25,0,28,3,0,5,0,-30,-24,0
-25,0,28,3,0,5,0,-29,-24,0
-24,0,28,4,0,5,0,-29,-24,0
-24,0,28,4,0,5,0,-29,-24,0
-24,0,28,4,0,5,0,-29,-24,0
-24,0,28,4,0,5,0,-29,-24,0
-24,0,28,4,0,4,0,-29,-24,0
-24,0,28,4,0,4,0,-28,-24,0
-24,0,28,4,0,4,0,-28,-24,0
-24,0,28,4,0,4,0,-28,-24,0
-24,0,28,4,0,4,0,-28,-24,0
-24,0,28,4,0,4,0,-29,-25,0
-23,-3,28,6,-3,9,-3,-34,-24,-3
-21,-5,29,8,-5,16,-5,-42,-26,-5
-19,-7,29,10,-7,24,-7,-55,-31,-7
-17,-8,29,12,-8,32,-8,-67,-35,-8
-15,-9,29,15,-9,36,-9,-72,-36,-9
-12,-8,29,17,-8,35,-8,-67,-32,-8
-10,-7,29,19,-7,31,-7,-55,-24,-7
-8,-5,29,21,-5,26,-5,-42,-16,-5
-6,-3,28,23,-3,24,-3,-34,-9,-3
-4,0,28,24,0,25,0,-29,-4,0
-4,0,28,24,0,24,0,-28,-4,0
-4,0,28,24,0,24,0,-28,-4,0
-4,0,28,24,0,24,0,-28,-4,0
-4,0,28,24,0,24,0,-28,-4,0
-4,0,28,24,0,24,0,-29,-4,0
-4,0,28,24,0,24,0,-29,-5,0
-4,0,28,24,0,24,0,-29,-5,0
-4,0,28,24,0,24,0,-29,-5,0
-4,0,28,24,0,24,0,-29,-5,0
-3,0,28,25,0,24,0,-29,-5,0
-3,0,28,25,0,24,0,-30,-5,0
-4,0,28,24,0,24,0,-28,-4,0
-4,0,28,24,0,24,0,-28,-4,0
-5,0,28,24,0,25,0,-28,-3,0
-5,0,29,24,0,25,0,-28,-3,0
-5,0,29,24,0,24,0,-28,-4,0
-5,0,29,24,0,24,0,-28,-4,0
-5,0,29,24,0,24,0,-28,-4,0
-5,0,29,24,0,24,0,-28,-4,0
-4,0,29,24,0,24,0,-28,-4,0
-4,0,28,24,0,24,0,-28,-4,0
-4,0,28,24,0,24,0,-28,-4,0
-4,0,28,24,0,24,0,-28,-4,0
-4,0,28,24,0,24,0,-28,-4,0
-4,0,29,25,0,24,0,-28,-4,0
-9,3,34,24,3,23,3,-28,-6,3
-16,5,42,26,5,21,5,-29,-8,5
-24,7,55,31,7,19,7,-29,-10,7
-32,8,67,35,8,17,8,-29,-12,8
-36,9,72,36,9,15,9,-29,-15,9
-35,8,67,32,8,12,8,-29,-17,8
-31,7,55,24,7,10,7,-29,-19,7
-26,5,42,16,5,8,5,-29,-21,5
-24,3,34,9,3,6,3,-28,-23,3
-25,0,29,4,0,4,0,-28,-24,0
-24,0,28,4,0,4,0,-28,-24,0
-24,0,28,4,0,4,0,-28,-24,0
-24,0,28,4,0,4,0,-28,-24,0
-24,0,28,4,0,4,0,-28,-24,0
-24,0,29,4,0,4,0,-28,-24,0
-24,0,29,5,0,4,0,-28,-24,0
-24,0,29,5,0,4,0,-28,-24,0
-24,0,29,5,0,4,0,-28,-24,0
-24,0,29,5,0,4,0,-28,-24,0
-24,0,29,5,0,3,0,-28,-25,0
-24,0,30,5,0,3,0,-28,-25,0
-25,0,28,3,0,5,0,-30,-24,0
-25,0,28,3,0,5,0,-29,-24,0
-24,0,28,4,0,5,0,-29,-24,0
-24,0,28,4,0,5,0,-29,-24,0
-24,0,28,4,0,5,0,-29,-24,0
-24,0,28,4,0,5,0,-29,-24,0
-24,0,28,4,0,4,0,-29,-24,0
-24,0,28,4,0,4,0,-28,-24,0
-24,0,28,4,0,4,0,-28,-24,0
-24,0,28,4,0,4,0,-28,-24,0
-24,0,28,4,0,4,0,-28,-24,0
-24,0,28,4,0,4,0,-29,-25,0
-23,-3,28,6,-3,9,-3,-34,-24,-3
-21,-5,29,8,-5,16,-5,-42,-26,-5
-19,-7,29,10,-7,24,-7,-55,-31,-7
-17,-8,29,12,-8,32,-8,-67,-35,-8
-15,-9,29,15,-9,36,-9,-72,-36,-9
-12,-8,29,17,-8,35,-8,-67,-32,-8
-10,-7,29,19,-7,31,-7,-55,-24,-7
-8,-5,29,21,-5,26,-5,-42,-16,-5
-6,-3,28,23,-3,24,-3,-34,-9,-3
-4,0,28,24,0,25,0,-29,-4,0
-4,0,28,24,0,24,0,-28,-4,0
-4,0,28,24,0,24,0,-28,-4,0
-4,0,28,24,0,24,0,-28,-4,0
-4,0,28,24,0,24,0,-28,-4,0
-4,0,28,24,0,24,0,-29,-4,0
-4,0,28,24,0,24,0,-29,-5,0
-4,0,28,24,0,24,0,-29,-5,0
-4,0,28,24,0,24,0,-29,-5,0
-4,0,28,24,0,24,0,-29,-5,0
-3,0,28,25,0,24,0,-29,-5,0
-3,0,28,25,0,24,0,-30,-5,0
